WKU,Title,App_Date,Issue_Date,Inventor,Assignee,ICL_Class,References,Claims
D02464012,"Jacket or similar article",1975-06-17,1977-11-22,"Wolf Georg Muller-Scherak","",D0202,D165713;3828368,"The ornamental design for jacket or similar article, as shown anddescribed."
D02464020,"Skirt",1976-02-12,1977-11-22,"Peter William Swift Morgan","Dunlop Limited",D0202,,"The ornamental design for a skirt, as shown and described."
D02464039,"Book rest for bathtubs and armchairs",1976-08-09,1977-11-22,"William Tempchin","",D0606,D164483;D177324;D218980;D237334;1942340;2783109,"The ornamental design for a bookrest for bathtubs and armchairs, as shownand described."
D02464047,"Soap dish holder",1977-02-23,1977-11-22,"Raymond U. H. Tegner","Amerock Corporation",D2302;D0806,D204801;D225947;D231056;D231166,"The ornamental design for a soap dish holder, as shown."
D02464055,"Combined soap holder and paper towel dispenser",1975-09-02,1977-11-22,"Theodore W. Richards","",D2302,D186840;1156266;1178159;2704907,"The ornamental design for a combined soap holder and paper towel dispenser,as shown and described."
D02464063,"Combined tumbler and toothbrush holder",1977-02-23,1977-11-22,"Raymond U. H. Tegner","Amerock Corporation",D2302;D0806,D204801;D206147;D225947;D228271;D231056;D242194,"The ornamental design for a combined tumbler and toothbrush holder, asshown."
D02464071,"Table",1976-02-23,1977-11-22,"James Vance Holdam, Jr.","",D0603,D199847;D217682;D230229;D231967,"The ornamental design for a table, as shown."
D02464080,"Combined display and dispensing stand",1975-11-11,1977-11-22,"Robert R. Snediker;Steve Chalmers;Robert E. Drapeau","Brown & Williamson Tobacco Corporation",D0604;D2002,D128778;D189736;D198421;D242682;1662637;2781918;3019907;3194433;3858757,"The ornamental design for the combined display and dispensing stand, asshown and described."
D02464098,"Doll stand",1976-06-23,1977-11-22,"Frank D. Ventura","Ideal Toy Corporation",D2002,D209358;D229997;D232877,"The ornamental design for a doll stand, as shown and described."
D02464101,"Coffeemaker or the like",1976-03-22,1977-11-22,"Wolfgang Harms;Marshall B. Johnson;Karl H. Bergmann;Richard G. Gelak","Melitta, Inc.",D0702,D228053;D234114;D234901;D243308;3869968;3987717,"The ornamental design for a coffeemaker or the like, substantially asshown."
D02464110,"Pie cutter",1976-02-17,1977-11-22,"Robert E. Blanchard","",D0704,2302323;2403190;2824588;3195532,"The ornamental design for a pie cutter, substantially as shown."
D02464128,"Cookie cutter or the like",1976-04-07,1977-11-22,"Donald A. Brunner","Dart Industries Inc.",D0702,D24342;D82568;D134860;D157012;D162798,"The ornamental design for a cookie cutter or the like, substantially asshown."
D02464136,"Pitcher",1976-02-06,1977-11-22,"Leo F. Wildgen","Ball Corporation",D0701,D220773;D227142;D229012;3760972,"The ornamental design for a pitcher, as shown."
D02464144,"Ice and snow scraper",1976-05-17,1977-11-22,"Evan Leon Hopkins;Donald W. Cartner","Hopkins Manufacturing Corporation",D0705,D222025;D230391;2529012;3051975,"The ornamental design for an ice and snow scraper, substantially as shownand described."
D02464152,"Wrench socket",1976-01-16,1977-11-22,"John L. Critcher","",D0805,3433108,"The ornamental design for a wrench socket, substantially as shown anddescribed."
D02464160,"Hacksaw blade holder",1976-06-24,1977-11-22,"Harald Schmidt","Hansa Plastics Inc.",D0803,D207247;D228225;308703;2604130;3480055,"The ornamental design for a hacksaw blade holder, substantially as shown."
D02464179,"Hand-held tool for removing insulation from electrical conductors",1976-09-27,1977-11-22,"Walter N. Christiansen","Gardner-Denver Company",D0803,D237453;3002407;3532011,"The ornamental design for a hand-held tool for removing insulation fromelectrical conductors, as shown and described."
D02464187,"Door pull having simulated thumb lever",1977-01-13,1977-11-22,"Keith E. Ridgway;Edward W. Scott","Ajax Hardware Corporation",D0806,,"The ornamental design for a door pull having simulated thumb lever,substantially as shown."
D02464195,"Door pull having simulated thumb lever",1977-01-13,1977-11-22,"Keith E. Ridgway;Edward W. Scott","Ajax Hardware Corporation",D0806,D210819,"The ornamental design for a door pull having simulated thumb lever,substantially as shown."
D02464209,"Pull",1976-12-01,1977-11-22,"Teresa R. B. Pittenger","Amerock Corporation",D0806,D68614;D80162;D226895;D233012,"The ornamental design for a pull, as shown."
D02464217,"Drawer pull having bail",1977-01-13,1977-11-22,"Keith E. Ridgway;Edward W. Scott","Ajax Hardware Corporation",D0806,D193768,"The ornamental design for a drawer pull having bail, substantially asshown."
D02464225,"Pendant pull",1976-12-01,1977-11-22,"LaVerne E. Clayton","Amerock Corporation",D0806,D231319,"The ornamental design for a pendant pull, as shown."
